File,ID,Site,District,State,Year,Field,Dated,Latitude,Longitude,Accuracy,Ins_ID,Institute,Institute-2,Institute-3,Institute-4,Team,Archaeologist,Archaeologist-2,Archaeologist-3,Archaeologist-4,Archaeologist-5,Archaeologist-6,Archaeologist-7,Notes,Reference,Source
IAR_1950s_160111_clean.csv,,Birbhanpur,Burdwan,West Bengal,1953,Excavation,Microlithic,23.484887,87.302234,3,1,Survey,,,,Eastern Circle,,,,,,,,"notes detrital laterite; dates lithics on geological strata - Holocene, 10 000; includes photos",IAR 1954: 6,
IAR_1950s_160111_clean.csv,,Rupar,Ambala,Punjab,1953,Excavation,Harappan,30.093381,76.610258,3,1,Survey,,,,Excavation Branch,,,,,,,,"notes gap between end of Harappa mid-second mill BC and beginning of historical period; continuous sequence but no contact between Harappan and PGW people; emphasizes homogenity of 'culture from Baluchistan to Sutlej'; end is not clear; reoccupied 1000 BC by PGW; NBPW, coins, seals, Brahmi characters and structures; 2nd BC to 6th AD based on coins; medieval based on glazed, painted polychrome pottery, coins",IAR 1954: 6-7,
IAR_1950s_160111_clean.csv,,Rangpur,Jhalawar,Rajasthan,1953,Excavation,Harappan,24.597349,76.160984,3,1,Survey,,,,Western Circle,,,,,,,,"notes previous work by Madho Sarup Vats, 1934, GS Ghurye, 1936, Moreshwar G Dikshit, 1947; Dikshit: no Harappan affinities, post-Harappan ie Aryan; new work = Harappan contacts - sequence of three cultures: microlithic, chalcolithic, late chalcolithic; pottery, copper/bronze axes, beads, lithics; notes microliths and Black-and-Red ware 'similiar to pottery at Ahar' and 'technical similarity with megalithic' in southern India",IAR 1954: 6-7,
IAR_1950s_160111_clean.csv,,Maheswar,Khargone,Madhya Pradesh,1953,Excavation,Harappan,22.177285,75.582978,3,2,Deccan College,MSU Baroda,,,,HD Sankalia,B Subbarao,,,,,,"notes historical periods, proto-microlithic, proto-neolithic; includes photo",IAR 1954: 8,
IAR_1950s_160111_clean.csv,,Langhnaj,Ahmedabad,Gujarat,1953,Excavation,Microlithic,23.022505,72.571362,3,2,"MS University, Baroda",,,,,B Subbarao,,,,,,,"notes previous work by HD Sankalia; microlithics, 7 human skeletons - semi fossilized and 'highly-flexed position indicating burials'; dating based on presence of calcium shows old surface lay between 2ft to 4ft from present surface and 1 skeleton",IAR 1954: 8,
IAR_1950s_160111_clean.csv,,Maski,Raichur,Andhra Pradesh,1953,Excavation,Chalcolithic,15.95823,76.65446,3,1,Survey,Hyderabad State,,,South-western Circle,,,,,,,,"notes previous work for Ashokan rock-edict; elaborate sequence from Brahmagiri, 1947; Chalcolithic = copper + microliths, pottery; Iron Age = extended burials + black-and-red pottery; Andhra Age (1-2nd AD) = Satavahana coins, russet-coloured pottery; includes photos",IAR 1954: 8,
IAR_1950s_160111_clean.csv,,Rajgir,Patna,Bihar,1953,Excavation,NBPW,25.596956,85.18411,5,1,Survey,,,,Mid-eastern Circle,,,,,,,,"notes ancient capital site; monastery, pottery, 'three distinct states of citadel construction' ; NBPW and red ware",IAR 1954: 9,
IAR_1950s_160111_clean.csv,,Kausambi,Allahabad,Uttar Pradesh,1953,Excavation,1st-2nd BC,25.435801,81.846311,3,2,University of Allahabad,,,,,GR Sharma,,,,,,,"notes importance 1st BC - 1st AD and previous work in 1951; defensive walls, monastery, stupas, sculptures, terracottas and inscriptions, Jaina as modern; includes photos",IAR 1954: 9-10,
IAR_1950s_160111_clean.csv,,Kumrahar,Patna,Bihar,1953,Excavation,Sunga,25.592766,85.186814,3,2,KP Jayaswal Research Institute,,,,,Viyayakanta Mishra,,,,,,,"notes previous work, DB Spooner, 1912; pillared hall at Pataliputra; four periods - Sunga: 150BC-100AD, 100-300AD, 300-450AD, 450-600AD based on strutures, pottery; points to pottery similarity with Bairat, Rajasthan, Rupar, Punjab",IAR 1954: 9-10,
IAR_1950s_160111_clean.csv,,Vadnagar,Mehsana,Gujarat,1953,Excavation,2nd-3rd,23.775726,72.616564,3,2,"MS University, Baroda",,,,,B Subbarao,,,,,,,"notes red polished ware, and past names of site; continuous sequence 3 periods: 100-200AD, crude pottery, 200-600, flourishing stage of city, red polished ware, 600-1000AD, coarse red-slipped with design; notes similarity with pottery from Kathiawar, Baraoda and Timberva",IAR 1954: 10,
IAR_1950s_160111_clean.csv,,Jagatgram,Dehradun,Uttarakhand,1953,Excavation,3rd-4th,30.316495,78.032192,3,1,Survey,,,,,Excavation Branch,,,,,,,"notes proximity to Ashoka rock-edict; historical significance; inscriptions Brahmi, architectural remains, bricks",IAR 1954: 10-11,
IAR_1950s_160111_clean.csv,,Salihundam,Srikakulam,Andhra Pradesh,1953,Excavation,Buddhist,18.326322,84.056387,3,1,Survey,,,,,South-eastern,,,,,,,"notes proximity to Vamsadhara river, and port of Calingapatnam; stupa, inscription, pottery, stones, bone, conches, coins;  age of Satavahanas",IAR 1954: 11-12,
IAR_1950s_160111_clean.csv,,Pallavamedu,Kanchipuram,Tamil Nadu,1953,Excavation,Pallavas,12.834174,79.70364,3,1,Survey,,,,,Southern Circle,,,,,,,"notes 4 successive structural periods: lowest with ring-wells, rest no difference in pottery; bangles in stages of production = factory",IAR 1954: 12,
IAR_1950s_160111_clean.csv,,Sirpur,Raipur,Madhya Pradesh,1953,Excavation,Medieval,22.751069,77.780967,3,2,University of Saugor,,,,,Moreshwar G Dikshit,,,,,,,"notes historical significance as capital of Pandava;  sculptures, includes photos",IAR 1954: 12,
IAR_1950s_160111_clean.csv,,Bhinmal,Jodhpur,Rajasthan,1953,Excavation,Medieval,26.238947,73.024309,3,3,Rajasthan State,,,,Department of Archaeology and Museums,,,,,,,,"notes historical significance as capital of Gurjaras; medieval structures, bricks",IAR 1954: 12,
IAR_1950s_160111_clean.csv,,Mumma Khan,Srinagar,Jammu and Kashmir,1953,Excavation,Pravarasena,34.125541,74.944258,3,3,Kashmir State,,,,Department of Archaeology and Museums,,,,,,,,"notes historical significance as founded by Pravarasena; coins, structures, Afghan period",IAR 1954: 12,
IAR_1950s_160111_clean.csv,,Tisgaon,Ahmednagar,Maharashtra,1953,Exploration,Paleolithic,19.190665,75.069875,3,2,Deccan College,,,,,HD Sankalia,,,,,,,notes two sites,IAR 1954: 37,
IAR_1950s_160111_clean.csv,,Ghargaon,Ahmednagar,Maharashtra,1953,Exploration,Microlithic,18.748115,74.638579,3,2,Deccan College,,,,,HD Sankalia,,,,,,,notes microliths and pottery,IAR 1954: 37,
IAR_1950s_160111_clean.csv,,Sangamner,Ahmednagar,Maharashtra,1953,Exploration,Microlithic,19.577139,74.207965,3,2,Deccan College,,,,,HD Sankalia,,,,,,,notes microliths and pottery,IAR 1954: 37,
IAR_1950s_160111_clean.csv,,Nevasa,Ahmednagar,Maharashtra,1953,Exploration,Chalcolithic,19.551177,74.928106,3,2,Deccan College,,,,,HD Sankalia,,,,,,,notes microliths and pottery,IAR 1954: 37,
IAR_1950s_160111_clean.csv,,Pravara Sangam,Ahmednagar,Maharashtra,1953,Exploration,Chalcolithic,19.56037,74.211811,3,2,Deccan College,,,,,HD Sankalia,,,,,,,notes microliths and pottery,IAR 1954: 37,
IAR_1950s_160111_clean.csv,,Bhojapuri,Ahmednagar,Maharashtra,1953,Exploration,Chalcolithic,19.095208,74.749592,3,2,Deccan College,,,,,HD Sankalia,,,,,,,notes microliths and pottery,IAR 1954: 37,
