Latitude,Longitude,Precision,Site,District,State,Year,Field,Dated,Investigator,Institute,Notes,Reference
23.232513,87.863419,3,Birbhanpur,Burdwan,West Bengal,1953,Excavation,Microlithic,Survey,Survey,"notes detrital laterite; dates lithics on geological strata - Holocene, 10 000; includes photos",IAR 1954: 6
30.965871,76.523284,3,Rupar,Ambala,Punjab,1953,Excavation,Harappan,Survey,Survey,"notes gap between end of Harappa mid-second mill BC and beginning of historical period; continuous sequence but no contact between Harappan and PGW people; emphasizes homogenity of 'culture from Baluchistan to Sutlej'; end is not clear; reoccupied 1000 BC by PGW; NBPW, coins, seals, Brahmi characters and structures; 2nd BC to 6th AD based on coins; medieval based on glazed, painted polychrome pottery, coins",IAR 1954: 6-7
23.799868,72.563368,3,Rangpur,Jhalawar,Rajasthan,1953,Excavation,Harappan,Survey,Survey,"notes previous work by Madho Sarup Vats, 1934, GS Ghurye, 1936, Moreshwar G Dikshit, 1947; Dikshit: no Harappan affinities, post-Harappan ie Aryan; new work = Harappan contacts - sequence of three cultures: microlithic, chalcolithic, late chalcolithic; pottery, copper/bronze axes, beads, lithics; notes microliths and Black-and-Red ware 'similiar to pottery at Ahar' and 'technical similarity with megalithic' in southern India",IAR 1954: 6-7
22.110005,75.347806,3,Maheswar,Khargone,Madhya Pradesh,1953,Excavation,Harappan,University,Deccan College,"notes historical periods, proto-microlithic, proto-neolithic; includes photo",IAR 1954: 8
23.447089,72.498298,3,Langhnaj,Ahmedabad,Gujarat,1953,Excavation,Microlithic,University,"MS University, Baroda","notes previous work by HD Sankalia; microlithics, 7 human skeletons - semi fossilized and 'highly-flexed position indicating burials'; dating based on presence of calcium shows old surface lay between 2ft to 4ft from present surface and 1 skeleton",IAR 1954: 8
15.96,76.65,3,Maski,Raichur,Andhra Pradesh,1953,Excavation,Chalcolithic,Survey,Survey,"notes previous work for Ashokan rock-edict; elaborate sequence from Brahmagiri, 1947; Chalcolithic = copper + microliths, pottery; Iron Age = extended burials + black-and-red pottery; Andhra Age (1-2nd AD) = Satavahana coins, russet-coloured pottery; includes photos",IAR 1954: 8
25.03,85.42,5,Rajgir,Patna,Bihar,1953,Excavation,NBPW,Survey,Survey,"notes ancient capital site; monastery, pottery, 'three distinct states of citadel construction' ; NBPW and red ware",IAR 1954: 9
25.361054,81.4031707,3,Kausambi,Allahabad,Uttar Pradesh,1953,Excavation,1st-2nd BC,University,University of Allahabad,"notes importance 1st BC - 1st AD and previous work in 1951; defensive walls, monastery, stupas, sculptures, terracottas and inscriptions, Jaina as modern; includes photos",IAR 1954: 9-10
25.6011326,85.1890094,3,Kumrahar,Patna,Bihar,1953,Excavation,Sunga,University,KP Jayaswal Research Institute,"notes previous work, DB Spooner, 1912; pillared hall at Pataliputra; four periods - Sunga: 150BC-100AD, 100-300AD, 300-450AD, 450-600AD based on strutures, pottery; points to pottery similarity with Bairat, Rajasthan, Rupar, Punjab",IAR 1954: 9-10
23.787177,72.6478508,3,Vadnagar,Mehsana,Gujarat,1953,Excavation,2nd-3rd,University,"MS University, Baroda","notes red polished ware, and past names of site; continuous sequence 3 periods: 100-200AD, crude pottery, 200-600, flourishing stage of city, red polished ware, 600-1000AD, coarse red-slipped with design; notes similarity with pottery from Kathiawar, Baraoda and Timberva",IAR 1954: 10
30.3616249,77.9296253,3,Jagatgram,Dehradun,Uttarakhand,1953,Excavation,3rd-4th,Survey,Survey,"notes proximity to Ashoka rock-edict; historical significance; inscriptions Brahmi, architectural remains, bricks",IAR 1954: 10-11
18.3333384,84.047806,3,Salihundam,Srikakulam,Andhra Pradesh,1953,Excavation,Buddhist,Survey,Survey,"notes proximity to Vamsadhara river, and port of Calingapatnam; stupa, inscription, pottery, stones, bone, conches, coins;  age of Satavahanas",IAR 1954: 11-12
12.8299303,79.67679,3,Pallavamedu,Kanchipuram,Tamil Nadu,1953,Excavation,Pallavas,Survey,Survey,"notes 4 successive structural periods: lowest with ring-wells, rest no difference in pottery; bangles in stages of production = factory",IAR 1954: 12
21.825895,76.634425,3,Sirpur,Raipur,Madhya Pradesh,1953,Excavation,Medieval,University,University of Saugor,"notes historical significance as capital of Pandava;  sculptures, includes photos",IAR 1954: 12
25.0025658,72.2417917,3,Bhinmal,Jodhpur,Rajasthan,1953,Excavation,Medieval,State,Rajasthan State,"notes historical significance as capital of Gurjaras; medieval structures, bricks",IAR 1954: 12
34.0943784,74.7967519,3,Mumma Khan,Srinagar,Jammu and Kashmir,1953,Excavation,Pravarasena,State,Kashmir State,"notes historical significance as founded by Pravarasena; coins, structures, Afghan period",IAR 1954: 12
19.1881514,75.0592987,3,Tisgaon,Ahmednagar,Maharashtra,1953,Exploration,Paleolithic,University,Deccan College,notes two sites,IAR 1954: 37
18.7481355,74.6292471,3,Ghargaon,Ahmednagar,Maharashtra,1953,Exploration,Microlithic,University,Deccan College,notes microliths and pottery,IAR 1954: 37
19.5761245,74.1905878,3,Sangamner,Ahmednagar,Maharashtra,1953,Exploration,Microlithic,University,Deccan College,notes microliths and pottery,IAR 1954: 37
19.551177,74.928106,3,Nevasa,Ahmednagar,Maharashtra,1953,Exploration,Chalcolithic,University,Deccan College,notes microliths and pottery,IAR 1954: 37
19.5867979,74.8850902,3,Pravara Sangam,Ahmednagar,Maharashtra,1953,Exploration,Chalcolithic,University,Deccan College,notes microliths and pottery,IAR 1954: 37
19.095208,74.749592,3,Bhojapuri,Ahmednagar,Maharashtra,1953,Exploration,Chalcolithic,University,Deccan College,notes microliths and pottery,IAR 1954: 37
19.4383375,73.8795146,3,Paithan,Ahmednagar,Maharashtra,1953,Exploration,Chalcolithic,University,Deccan College,notes microliths and pottery,IAR 1954: 37
24.9049106,74.5864889,3,Chitorgarh,Chittorgarh,Rajasthan,1953,Exploration,Paleolithic,Survey,Survey,"notes handaxes, choppers: correlate Soan with Madras industry",IAR 1954: 37
20.35035,74.974942,3,Patan,Jalgaon,Maharashtra,1953,Exploration,Microlithic,Survey,Survey,"notes microliths near river-bed; quartz, chert, jasper, chalcedony",IAR 1954: 37
22.744108,77.736967,3,Adamgarh,Hoshangabad,Madhya Pradesh,1953,Exploration,?,Survey,Survey,notes previous work by M Ghose and DH Gordon; points out 'collection enlarges the range very considerably',IAR 1954: 37
30.093381,76.610258,3,Bikkun,Ambala,Punjab,1953,Exploration,Harappan,Survey,Survey,notes sites on Upper Sutlej while excavating Rupar; Harappan and PGW,IAR 1954: 38
30.9198129,76.5101506,3,Bara,Ambala,Punjab,1953,Exploration,Harappan,Survey,Survey,notes sites on Upper Sutlej while excavating Rupar; Harappan and PGW,IAR 1954: 38
30.919093,76.525339,3,Salaura,Ambala,Punjab,1953,Exploration,Harappan,Survey,Survey,notes sites on Upper Sutlej while excavating Rupar; Harappan and PGW,IAR 1954: 38
30.2843045,76.6329256,3,Talapura,Ambala,Punjab,1953,Exploration,Harappan,Survey,Survey,notes sites on Upper Sutlej while excavating Rupar; Harappan and PGW,IAR 1954: 38
30.8919,76.4242,3,Chamkaur,Ambala,Punjab,1953,Exploration,Harappan,Survey,Survey,notes sites on Upper Sutlej while excavating Rupar; Harappan and PGW,IAR 1954: 38
30.093381,76.610258,3,Hawara,Ambala,Punjab,1953,Exploration,Harappan,Survey,Survey,notes sites on Upper Sutlej while excavating Rupar; Harappan and PGW,IAR 1954: 38
21.641707,69.629265,3,Gop,Porbandar,Gujarat,1953,Exploration,Rangpur,Survey,Survey,notes pottery,IAR 1954: 38
26.636613,80.31574,3,Pariar,Unao,Uttar Pradesh,1953,Exploration,PGW,Survey,Survey,notes copper harpoons; PGW 'marks an eastern limit of that ware',IAR 1954: 38
17.8447,78.48,9,Topran,Medak,Andhra Pradesh,1953,Exploration,Megalithic,State,Hyderabad State,notes vurials,IAR 1954: 38
16.572983,80.357513,3,Amaravati,Guntur,Andhra Pradesh,1953,Exploration,NBPW,Survey,Survey,"notes pottery, stupa; points out 'they mark the south-eastern limit of spread of that ware'",IAR 1954: 38
23.583582,72.140132,3,Modhera,Mehsana,Gujarat,1953,Exploration,Chaulukya,Survey,Survey,"notes sun-temple; red polished ware, coins",IAR 1954: 38
25.1562506,86.7822408,3,Kherhi Hill,Bhagalpur,Bihar,1953,Exploration,Pala,Survey,Survey,"notes fort, temples, images",IAR 1954: 38
27.2474507,76.349686,3,Nilkantha,Alwar,Rajasthan,1953,Exploration,Medieval,Survey,Survey,"notes sculptures, medieval temples",IAR 1954: 38
12.6174307,76.0634738,3,Kudalur,Mysore,Karnataka,1953,Exploration,Medieval,State,Mysore State,"notes metallic images, medieval temple",IAR 1954: 38
26.0441937,74.0118372,3,Raipur,Kota,Rajasthan,1953,Exploration,Gupta,State,Rajasthan State,"notes Jaina images, inscriptions",IAR 1954: 38
19.546888,74.9207034,3,Nevasa,Ahmednagar,Maharashtra,1954,Excavation,Neolithic,University,Deccan College,"notes paleolithic, neolithic-chalcolithic, early historical, Roman-Satavahana and Muslim; lithics, fossils, aggradation of river, pottery, storage jars, burials, huts; dated to 1000 BC 'on basis of its affinity with the Stone Axe Culture of Brahmagiri and microlithic blade-industry of Navda Toli'; coins includes figures",IAR 1955: 5-9
30.093381,76.610258,3,Rupar,Ambala,Punjab,1954,Excavation,Harappan,Survey,Survey,"notes attention to cemetery, distrubed by PGW people, notes position, grave goods",IAR 1955: 10-11
30.296242,76.798567,3,Bara,Ambala,Punjab,1954,Excavation,Harappan,Survey,Survey,"notes proximity to Rupar; to confirm gap between the end of Harappa and PGW arrival; no structures; waves of Harappans - new ideas and ceramic traditions; 15ft accumulation; differentiates from Rupar - pottery shapes, decoration and from Harappa and Mohenjodaro; similarities with sites in Bikaner; includes photos",IAR 1955: 11
30.093381,76.610258,3,Salaura,Ambala,Punjab,1954,Excavation,Harappan,Survey,Survey,notes proximity to Bara; structures in medieval; includes photos,IAR 1955: 11
23.799868,72.563368,3,Rangpur,Jhalawar,Rajasthan,1954,Excavation,Harappan,Survey,Survey,"notes previous work; proximity to Lothal, Harappan settlement with long life; drains, structures, 30 miles NE Lothal; sequence from Harappan to NBPW; points out natural death - 'deteriorated, transformed into subsequent culture' of lustrous red pottery; shapes, gradual change, new into vogue; includes photos",IAR 1955: 12
22.5213938,72.2472504,3,Lothal,Ahmedabad,Gujarat,1954,Excavation,Harappan,Survey,Survey,"notes brick size, pottery, blades; phase 1: flood, phase 2: clay rampart, phase 3: most important and last; drains, pottery: 'Harappa culture did not confine itself to north-west India but extended all over Saurashtra and as far south as the northern reaches of Bombay State'",IAR 1955: 12
20.8858018,74.7287555,3,Prakash,Dhule,Maharashtra,1954,Excavation,Chalcolithic,Survey,Survey,"notes location on confluence of Tapti and Gomai; 55ft deep occupational strata, four periods: 1000BC - microliths, copper, painted red ware, shell beads, stones; 600-100BC - lapse of time then iron-using culture, black-and-red ware, NBPW = intercourse with sites of comparable date in Ganga-Yamuna, 100BC-300AD - red polished ware, copper, iron, brick structures, 400AD - 'non-descript class' pottery; includes photos",IAR 1955: 13
28.6095791,77.2415431,5,Purana Qila,New Delhi,New Delhi,1954,Excavation,PGW,Survey,Survey,"notes if identifiable with Indraprastha - 1000 BC PGW, 500BC NBPW, structures, coins, copper and iron, 300BC Mathura, 1 AD Yaudheyas, 100-200 Kushans - excavation not completed; includes photos",IAR 1955: 13-14
24.5863946,73.7189702,3,Ahar,Udaipur,Rajasthan,1954,Excavation,Microlithic,State,Rajasthan State,"notes distance to Railway Station; previous work; in medieval inscriptions is Aghatapura and capital of Guhila kings; locally known as Dhulkot; 30ft occupation, one break: black-and-red ware+ microliths = 'extension from central and western India'; shapes in historical sites similiar to northern India and Madhya Bharat; includes photos",IAR 1955: 14-15
27.492413,77.673673,3,Mathura,Mathura,Uttar Pradesh,1954,Excavation,NBPW,Survey,Survey,"notes signifiance in history; PGW, mud-ramparts, five periods; includes photos",IAR 1955: 15-16
25.596956,85.18411,5,Rajgir,Patna,Bihar,1954,Excavation,post-NBPW,Survey,Survey,"notes previous work; structures, no NBPW - only post NBPW",IAR 1955: 16
25.435801,81.846311,3,Kausambi,Allahabad,Uttar Pradesh,1954,Excavation,?,University,University of Allahabad,"notes previous work; monastery, rampart, gateway, coins; includes plan and photos",IAR 1955: 16-18
25.592766,85.186814,3,Kumrahar,Patna,Bihar,1954,Excavation,Mauryan,University,KP Jayaswal Research Institute,"notes previous work, DB Spooner, 1912 disproved; stupas, figures; includes photos",IAR 1955: 18-19
22.278784,87.918771,3,Tamluk,Midnapore,West Bengal,1954,Excavation,Neolithic,Survey,Survey,"notes 'excavation taken up partly in response to public demand'; town, culture sequence - after Gupta is hard to reconstruct: water-tank digging, latest is brick structures of Rajas and salt-factory owners; includes photos",IAR 1955: 19-20
12.683995,79.983348,3,Amirthamangalam,Chingleput,Tamil Nadu,1954,Excavation,Megalithic,Survey,Survey,"notes work at Sanur; urn-burials surrounded by irrigation-tanks, seem simpler than megalithic burials - can't say if early form of burial or degenerate form; includes section and photos",IAR 1955: 21-22
12.683995,79.983348,3,Nagarjunakonda,Chingleput,Tamil Nadu,1954,Excavation,2nd-5th,Survey,Survey,notes structural remains; includes photos,IAR 1955: 22-23
